gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos10438	258	60	69	1	3	10	5	8	10	7
Skcos10439	14	0	0	0	0	0	0	0	0	0
Skcos1044	10	94	2	0	0	0	2	0	0	0
Skcos10440	106	931	14	11	8	26	2	2	24	1
Skcos10441	517	1633	359	63	50	140	96	115	372	118
Skcos10442	365	913	24	16	3	14	3	4	19	2
Skcos10443	97	663	23	1	4	17	5	6	33	9
Skcos10444	6	300	0	10	0	4	1	0	5	1
Skcos10445	7	133	0	0	0	0	0	1	0	0
Skcos10446	197	560	118	65	16	83	12	10	90	12
Skcos10447	927	3117	221	74	65	90	32	36	90	39
Skcos10448	1300	3032	1354	595	1157	868	719	915	501	855
